資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20230908,000815,1,0,0,0.00
20230908,000815,2,0,0,0.00
20230908,000815,3,0,0,0.00
20230908,000815,4,0,0,0.00
20230908,000815,5,0,0,0.00
20230908,000815,6,0,0,0.00
20230908,000815,7,0,0,0.00
20230908,000815,8,0,0,0.00
20230908,000815,9,0,0,0.00
20230908,000815,10,0,0,0.00
20230908,000815,11,0,0,0.00
20230908,000815,12,0,0,0.00
20230908,000815,13,0,0,0.00
20230908,000815,14,0,0,0.00
20230908,000815,15,1,692412444,100.00
20230908,000815,16,0,0,0.00
20230908,000815,17,1,692412444,100.00
20230908,0050,1,368124,105067742,4.29
20230908,0050,2,255133,513105663,20.97
20230908,0050,3,32478,237379971,9.70
20230908,0050,4,9329,116607670,4.76
20230908,0050,5,4371,77771179,3.17
20230908,0050,6,3775,93549494,3.82
20230908,0050,7,1523,53300069,2.17
20230908,0050,8,779,35406460,1.44
20230908,0050,9,1191,81269830,3.32
20230908,0050,10,369,49062877,2.00
20230908,0050,11,106,29822947,1.21
20230908,0050,12,29,14543308,0.59
20230908,0050,13,12,8514270,0.34
20230908,0050,14,15,13776932,0.56
20230908,0050,15,77,1017321588,41.58
20230908,0050,16,0,0,0.00
20230908,0050,17,677311,2446500000,100.00
20230908,0051,1,3153,740146,4.48
20230908,0051,2,3225,5943456,36.02
20230908,0051,3,284,2188012,13.26
20230908,0051,4,80,994923,6.02
20230908,0051,5,48,889399,5.39
20230908,0051,6,25,627267,3.80
20230908,0051,7,15,510550,3.09
20230908,0051,8,6,273694,1.65
20230908,0051,9,10,698000,4.23
20230908,0051,10,7,842636,5.10
20230908,0051,11,2,785917,4.76
20230908,0051,12,1,497000,3.01
20230908,0051,13,2,1509000,9.14
20230908,0051,14,0,0,0.00
20230908,0051,15,0,0,0.00
20230908,0051,16,0,0,0.00
20230908,0051,17,6858,16500000,100.00
20230908,0052,1,9802,2599336,5.97
20230908,0052,2,7015,12872002,29.59
20230908,0052,3,563,4235424,9.73
20230908,0052,4,104,1285061,2.95
20230908,0052,5,51,903750,2.07
20230908,0052,6,45,1125839,2.58
20230908,0052,7,13,478000,1.09
20230908,0052,8,7,316307,0.72
20230908,0052,9,12,894217,2.05
20230908,0052,10,5,688000,1.58
20230908,0052,11,5,1292000,2.97
20230908,0052,12,6,2972641,6.83
20230908,0052,13,0,0,0.00
20230908,0052,14,3,2668000,6.13
20230908,0052,15,5,11169423,25.67
20230908,0052,16,0,0,0.00
20230908,0052,17,17636,43500000,100.00
20230908,0053,1,420,65873,1.32
20230908,0053,2,665,1266089,25.38
20230908,0053,3,76,635069,12.73
20230908,0053,4,13,171000,3.42
