1535,中宇,TSE,M15B2 機電工程
1536,和大,TSE,M15D 汽車組件
1537,廣隆,TSE,M23D7 二次電池
1538,正峰,TSE,M15A1 工具機
1539,巨庭,TSE,M15A1 工具機
1540,喬福,TSE,M15A1 工具機
1541,錩泰,TSE,M15A1 工具機
1558,伸興,TSE,M15A3 紡織工具機
1560,中砂,TSE,M15A2 模具零件
1565,精華,OTC,M17G 醫療耗材
1568,倉佑,TSE,M15D 汽車組件
1569,濱川,OTC,M23D4 機殼
1570,力肯,OTC,M15A1 工具機
1580,新麥,OTC,M15Z 其他電製品
1582,信錦,TSE,M23D9A 沖壓零組件
1583,程泰,TSE,M15A1 工具機
1584,精剛,OTC,M20A6 不鏽鋼
1586,和勤,OTC,M23D9A 沖壓零組件
1587,吉茂,TSE,M15D 汽車組件
1589,永冠-KY,TSE,M15A2 模具零件
1590,亞德客-KY,TSE,M15A2 模具零件
1591,駿吉-KY,OTC,M15A1 工具機
1593,祺驊,OTC,M15Z 其他電製品
1595,川寶,OTC,M23H2 電機設備
1597,直得,TSE,M15A2 模具零件
1598,岱宇,TSE,M15Z 其他電製品
1599,宏佳騰,OTC,M22A 汽車製造
1603,華電,TSE,M16 電線
1604,聲寶,TSE,M15C1 家電
1605,華新,TSE,M16 電線
1608,華榮,TSE,M16 電線
1609,大亞,TSE,M16 電線
1611,中電,TSE,M15C4 照明
1612,宏泰,TSE,M16 電線
1614,三洋電,TSE,M15C1 家電
1615,大山,TSE,M16 電線
1616,億泰,TSE,M16 電線
1617,榮星,TSE,M16 電線
1618,合機,TSE,M16 電線
1626,艾美特-KY,TSE,M15C1 家電
1701,中化,TSE,M17C1 製藥
1702,南僑,TSE,M12B 油脂飼料
1707,葡萄王,TSE,M17C2 機能性食品
1708,東鹼,TSE,M17Z 其他化學
1709,和益,TSE,M17E1 清潔劑原料
1710,東聯,TSE,M13A5 化纖
1711,永光,TSE,M17B 染料及顏料
1712,興農,TSE,M17C3 農藥肥料
1713,國化,TSE,M17B 染料及顏料
1714,和桐,TSE,M17E1 清潔劑原料
1717,長興,TSE,M17F 樹脂
1718,中纖,TSE,M13A5 化纖
1720,生達,TSE,M17C1 製藥
1721,三晃,TSE,M17F 樹脂
1722,台肥,TSE,M17C3 農藥肥料
1723,中碳,TSE,M17Z 其他化學
1725,元禎,TSE,M17Z 其他化學
1726,永記,TSE,M17B 染料及顏料
1727,中華化,TSE,M17Z 其他化學
1730,花仙子,TSE,M17E2 清潔用品
1731,美吾華,TSE,M17C1 製藥
1732,毛寶,TSE,M17E2 清潔用品
1733,五鼎,TSE,M17G 醫療耗材
1734,杏輝,TSE,M17C1 製藥
1735,日勝化,TSE,M17F 樹脂
1736,喬山,TSE,M15Z 其他電製品
1737,臺鹽,TSE,M12Z 其他食品
1742,台蠟,OTC,M17Z 其他化學
1752,南光,TSE,M17C1 製藥
1760,寶齡富錦,TSE,M17C1 製藥
1762,中化生,TSE,M17C1 製藥
1773,勝一,TSE,M17Z 其他化學
1776,展宇,TSE,M17F 樹脂
1777,生泰,OTC,M17C1 製藥
1781,合世,OTC,M17G 醫療耗材
1783,和康生,TSE,M17G 醫療耗材
1784,訊聯,OTC,M17H 生物科技
1785,光洋科,OTC,M99L1 貴金屬回收
1786,科妍,TSE,M17G 醫療耗材
1788,杏昌,OTC,M17G 醫療耗材
1789,神隆,TSE,M17C1 製藥
1795,美時,TSE,M17C1 製藥
1796,金穎生技,OTC,M17C2 機能性食品
1799,易威,OTC,M17C1 製藥
1802,台玻,TSE,M18 玻璃陶瓷
1805,寶徠,TSE,M25A 建設
1806,冠軍,TSE,M18 玻璃陶瓷
1808,潤隆,TSE,M25A 建設
1809,中釉,TSE,M18 玻璃陶瓷
1810,和成,TSE,M18 玻璃陶瓷
1813,寶利徠,OTC,M17G 醫療耗材
1815,富喬,OTC,M23B3B 玻纖紗布
1817,凱撒衛,TSE,M18 玻璃陶瓷
1903,士紙,TSE,M19A 造紙
1904,正隆,TSE,M19A 造紙
1905,華紙,TSE,M19B 紙漿
1906,寶隆,TSE,M19A 造紙
1907,永豐餘,TSE,M19A 造紙
1909,榮成,TSE,M19A 造紙
2002,中鋼,TSE,M20A3 鋼板
2006,東和鋼鐵,TSE,M20A2 鋼筋
2007,燁興,TSE,M20A1 線材
2008,高興昌,TSE,M20A7 鋼管
2009,第一銅,TSE,M20A4 銅
2010,春源,TSE,M20A3 鋼板
2012,春雨,TSE,M20A1 線材
2013,中鋼構,TSE,M20A2 鋼筋
2014,中鴻,TSE,M20A3 鋼板
2015,豐興,TSE,M20A2 鋼筋
2017,官田鋼,TSE,M20A1 線材
2020,美亞,TSE,M20A7 鋼管
2022,聚亨,TSE,M20A1 線材
2023,燁輝,TSE,M20A3 鋼板
2024,志聯,TSE,M20A1 線材
2025,千興,TSE,M20A6 不鏽鋼
2027,大成鋼,TSE,M20A6 不鏽鋼
2028,威致,TSE,M20A2 鋼筋
2029,盛餘,TSE,M20A3 鋼板
2030,彰源,TSE,M20A7 鋼管
2031,新光鋼,TSE,M20A3 鋼板
2032,新鋼,TSE,M20A6 不鏽鋼
2033,佳大,TSE,M20A1 線材
2034,允強,TSE,M20A7 鋼管
2035,唐榮,OTC,M20A6 不鏽鋼
2038,海光,TSE,M20A2 鋼筋
2049,上銀,TSE,M15A2 模具零件
2059,川湖,TSE,M20B 金屬製品
2061,風青,OTC,M20A4 銅
2062,橋椿,TSE,M99B 五金及家具
2063,世鎧,OTC,M20A1 線材
2064,晉椿,OTC,M20A1 線材
2065,世豐,OTC,M20A1 線材
2066,世德,OTC,M15D 汽車組件
2067,嘉鋼,OTC,M15A2 模具零件
2069,運錩,TSE,M20A6 不鏽鋼
2070,精湛,OTC,M15H 儀器設備
