資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,0061,14,3,2633000,2.03
20231006,0061,15,8,31203431,24.16
20231006,0061,16,0,0,0.00
20231006,0061,17,7702,129116000,100.00
20231006,006201,1,342,63769,0.35
20231006,006201,2,1190,2518906,14.03
20231006,006201,3,187,1500447,8.36
20231006,006201,4,60,783962,4.36
20231006,006201,5,33,613488,3.41
20231006,006201,6,29,747318,4.16
20231006,006201,7,11,382271,2.13
20231006,006201,8,4,194000,1.08
20231006,006201,9,9,662728,3.69
20231006,006201,10,1,150000,0.83
20231006,006201,11,3,864111,4.81
20231006,006201,12,1,419000,2.33
20231006,006201,13,0,0,0.00
20231006,006201,14,2,1652000,9.20
20231006,006201,15,1,7394000,41.20
20231006,006201,16,0,0,0.00
20231006,006201,17,1873,17946000,100.00
20231006,006203,1,473,98183,0.80
20231006,006203,2,376,649964,5.31
20231006,006203,3,28,206525,1.69
20231006,006203,4,7,88015,0.72
20231006,006203,5,7,124313,1.01
20231006,006203,6,1,25000,0.20
20231006,006203,7,2,68000,0.55
20231006,006203,8,0,0,0.00
20231006,006203,9,1,64000,0.52
20231006,006203,10,2,249000,2.03
20231006,006203,11,2,645000,5.27
20231006,006203,12,1,500000,4.09
20231006,006203,13,0,0,0.00
20231006,006203,14,0,0,0.00
20231006,006203,15,3,9500000,77.75
20231006,006203,16,0,0,0.00
20231006,006203,17,903,12218000,100.00
20231006,006204,1,858,138535,9.23
20231006,006204,2,351,575688,38.37
20231006,006204,3,16,122028,8.13
20231006,006204,4,1,15000,1.00
20231006,006204,5,2,36000,2.40
20231006,006204,6,1,30000,2.00
20231006,006204,7,0,0,0.00
20231006,006204,8,0,0,0.00
20231006,006204,9,2,146811,9.78
20231006,006204,10,1,122000,8.13
20231006,006204,11,1,313938,20.92
20231006,006204,12,0,0,0.00
20231006,006204,13,0,0,0.00
20231006,006204,14,0,0,0.00
20231006,006204,15,0,0,0.00
20231006,006204,16,0,0,0.00
20231006,006204,17,1233,1500000,100.00
20231006,006205,1,3814,1391204,0.75
20231006,006205,2,6747,15661683,8.51
20231006,006205,3,1652,12279694,6.67
20231006,006205,4,556,6952638,3.78
20231006,006205,5,322,5869075,3.19
20231006,006205,6,286,7315547,3.97
20231006,006205,7,129,4588735,2.49
20231006,006205,8,72,3364875,1.82
20231006,006205,9,150,10940972,5.94
20231006,006205,10,64,9093899,4.94
20231006,006205,11,14,4282563,2.32
20231006,006205,12,8,3798566,2.06
20231006,006205,13,4,2759000,1.50
20231006,006205,14,1,884000,0.48
20231006,006205,15,20,94726549,51.50
20231006,006205,16,0,0,0.00
20231006,006205,17,13839,183909000,100.00
20231006,006206,1,907,280405,0.52
20231006,006206,2,2347,5497791,10.31
20231006,006206,3,562,4403545,8.26
20231006,006206,4,198,2519736,4.72
20231006,006206,5,115,2118280,3.97
20231006,006206,6,115,2981252,5.59
20231006,006206,7,46,1664487,3.12
20231006,006206,8,38,1798024,3.37
20231006,006206,9,63,4686778,8.79
20231006,006206,10,24,3525425,6.61
20231006,006206,11,8,2464000,4.62
20231006,006206,12,4,1993277,3.74
20231006,006206,13,0,0,0.00
20231006,006206,14,0,0,0.00
20231006,006206,15,2,19345000,36.30
20231006,006206,16,0,0,0.00
20231006,006206,17,4429,53278000,100.00
20231006,006207,1,177,35576,0.10
20231006,006207,2,1063,2504925,7.39
20231006,006207,3,283,2304743,6.80
20231006,006207,4,89,1136194,3.35
20231006,006207,5,97,1797779,5.30
20231006,006207,6,72,1877858,5.54
20231006,006207,7,37,1323000,3.90
20231006,006207,8,32,1496500,4.41
20231006,006207,9,60,4507002,13.29
20231006,006207,10,33,4764000,14.05
20231006,006207,11,19,5749254,16.96
20231006,006207,12,4,2048882,6.04
20231006,006207,13,0,0,0.00
20231006,006207,14,0,0,0.00
20231006,006207,15,3,4346287,12.82
20231006,006207,16,0,0,0.00
20231006,006207,17,1969,33892000,100.00
20231006,006208,1,132451,44492584,5.30
20231006,006208,2,125856,267743278,31.91
20231006,006208,3,20737,149634186,17.83
20231006,006208,4,6873,85250032,10.16
20231006,006208,5,2993,52461903,6.25
20231006,006208,6,2409,58770359,7.00
20231006,006208,7,922,31922046,3.80
20231006,006208,8,491,22102989,2.63
20231006,006208,9,639,42723124,5.09
20231006,006208,10,160,21043599,2.50
20231006,006208,11,30,8134787,0.96
20231006,006208,12,7,3352608,0.39
20231006,006208,13,4,2784290,0.33
20231006,006208,14,1,841797,0.10
20231006,006208,15,19,48048266,5.72
20231006,006208,16,1,265848,0.03
20231006,006208,17,293592,839040000,100.00
20231006,00625K,1,0,0,0.00
20231006,00625K,2,5,12000,3.30
20231006,00625K,3,1,10000,2.75
20231006,00625K,4,1,12000,3.30
20231006,00625K,5,3,53000,14.60
20231006,00625K,6,1,23000,6.33
20231006,00625K,7,1,40000,11.01
20231006,00625K,8,0,0,0.00
20231006,00625K,9,3,213000,58.67
20231006,00625K,10,0,0,0.00
20231006,00625K,11,0,0,0.00
20231006,00625K,12,0,0,0.00
20231006,00625K,13,0,0,0.00
20231006,00625K,14,0,0,0.00
20231006,00625K,15,0,0,0.00
20231006,00625K,16,0,0,0.00
20231006,00625K,17,15,363000,100.00
20231006,00631L,1,6937,1958778,2.35
20231006,00631L,2,6765,14899169,17.93
20231006,00631L,3,1333,9928553,11.95
20231006,00631L,4,491,6191852,7.45
20231006,00631L,5,262,4685858,5.63
20231006,00631L,6,254,6244153,7.51
20231006,00631L,7,130,4599676,5.53
20231006,00631L,8,56,2556266,3.07
20231006,00631L,9,117,8301783,9.99
20231006,00631L,10,42,5501370,6.62
20231006,00631L,11,16,4136077,4.97
